;;;weiblich;männlich;
2006;Multiples Myelom (C90);0 - 4;<5;<5;
2006;Multiples Myelom (C90);5 - 9;<5;<5;
2006;Multiples Myelom (C90);10 - 14;<5;<5;
2006;Multiples Myelom (C90);15 - 19;<5;<5;
2006;Multiples Myelom (C90);20 - 24;<5;<5;
2006;Multiples Myelom (C90);25 - 29;<5;<5;
2006;Multiples Myelom (C90);30 - 34;<5;9;
2006;Multiples Myelom (C90);35 - 39;17;25;
2006;Multiples Myelom (C90);40 - 44;40;62;
2006;Multiples Myelom (C90);45 - 49;78;106;
2006;Multiples Myelom (C90);50 - 54;119;176;
2006;Multiples Myelom (C90);55 - 59;191;254;
2006;Multiples Myelom (C90);60 - 64;261;347;
2006;Multiples Myelom (C90);65 - 69;462;589;
2006;Multiples Myelom (C90);70 - 74;479;609;
2006;Multiples Myelom (C90);75 - 79;539;509;
2006;Multiples Myelom (C90);80 - 84;480;318;
2006;Multiples Myelom (C90);85+;306;153;
2006;Leukämien (C91-C95);0 - 4;141;178;
2006;Leukämien (C91-C95);5 - 9;71;94;
2006;Leukämien (C91-C95);10 - 14;47;78;
2006;Leukämien (C91-C95);15 - 19;47;74;
2006;Leukämien (C91-C95);20 - 24;47;66;
2006;Leukämien (C91-C95);25 - 29;83;72;
2006;Leukämien (C91-C95);30 - 34;41;59;
2006;Leukämien (C91-C95);35 - 39;141;122;
2006;Leukämien (C91-C95);40 - 44;139;191;
2006;Leukämien (C91-C95);45 - 49;197;245;
2006;Leukämien (C91-C95);50 - 54;260;387;
2006;Leukämien (C91-C95);55 - 59;274;515;
2006;Leukämien (C91-C95);60 - 64;462;774;
2006;Leukämien (C91-C95);65 - 69;721;1.106;
2006;Leukämien (C91-C95);70 - 74;700;1.178;
2006;Leukämien (C91-C95);75 - 79;755;972;
2006;Leukämien (C91-C95);80 - 84;841;648;
2006;Leukämien (C91-C95);85+;793;455;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);0 - 4;<5;<5;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);5 - 9;<5;<5;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);10 - 14;<5;<5;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);15 - 19;<5;5;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);20 - 24;<5;<5;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);25 - 29;6;6;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);30 - 34;<5;6;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);35 - 39;6;6;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);40 - 44;6;6;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);45 - 49;6;8;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);50 - 54;6;7;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);55 - 59;5;8;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);60 - 64;6;9;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);65 - 69;10;9;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);70 - 74;6;7;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);75 - 79;7;7;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);80 - 84;5;<5;
2006;sonstg./n.n.bez. bösartige Neubildungen d. lymphatischen/blutbildenden Gewebes (C96);85+;8;<5;
2007;Krebs gesamt (C00-C97 ohne C44);0 - 4;335;397;
2007;Krebs gesamt (C00-C97 ohne C44);5 - 9;167;232;
2007;Krebs gesamt (C00-C97 ohne C44);10 - 14;189;231;
2007;Krebs gesamt (C00-C97 ohne C44);15 - 19;457;565;
2007;Krebs gesamt (C00-C97 ohne C44);20 - 24;816;934;
2007;Krebs gesamt (C00-C97 ohne C44);25 - 29;1.585;1.417;
2007;Krebs gesamt (C00-C97 ohne C44);30 - 34;2.445;1.618;
2007;Krebs gesamt (C00-C97 ohne C44);35 - 39;4.897;2.972;
2007;Krebs gesamt (C00-C97 ohne C44);40 - 44;9.205;5.246;
2007;Krebs gesamt (C00-C97 ohne C44);45 - 49;13.079;8.744;
2007;Krebs gesamt (C00-C97 ohne C44);50 - 54;15.774;13.849;
2007;Krebs gesamt (C00-C97 ohne C44);55 - 59;19.558;22.361;
2007;Krebs gesamt (C00-C97 ohne C44);60 - 64;21.598;30.443;
2007;Krebs gesamt (C00-C97 ohne C44);65 - 69;33.189;52.593;
2007;Krebs gesamt (C00-C97 ohne C44);70 - 74;29.404;48.525;
2007;Krebs gesamt (C00-C97 ohne C44);75 - 79;28.400;39.270;
2007;Krebs gesamt (C00-C97 ohne C44);80 - 84;26.932;23.356;
2007;Krebs gesamt (C00-C97 ohne C44);85+;26.389;14.824;
2007;Mundhöhle und Rachen (C00-C14);0 - 4;<5;<5;
2007;Mundhöhle und Rachen (C00-C14);5 - 9;<5;<5;
2007;Mundhöhle und Rachen (C00-C14);10 - 14;<5;<5;
2007;Mundhöhle und Rachen (C00-C14);15 - 19;5;9;
2007;Mundhöhle und Rachen (C00-C14);20 - 24;10;11;
2007;Mundhöhle und Rachen (C00-C14);25 - 29;12;15;
2007;Mundhöhle und Rachen (C00-C14);30 - 34;29;31;
2007;Mundhöhle und Rachen (C00-C14);35 - 39;69;114;
2007;Mundhöhle und Rachen (C00-C14);40 - 44;145;385;
2007;Mundhöhle und Rachen (C00-C14);45 - 49;253;917;
2007;Mundhöhle und Rachen (C00-C14);50 - 54;410;1.395;
2007;Mundhöhle und Rachen (C00-C14);55 - 59;431;1.550;
2007;Mundhöhle und Rachen (C00-C14);60 - 64;407;1.353;
2007;Mundhöhle und Rachen (C00-C14);65 - 69;492;1.715;
2007;Mundhöhle und Rachen (C00-C14);70 - 74;329;1.046;
2007;Mundhöhle und Rachen (C00-C14);75 - 79;319;639;
2007;Mundhöhle und Rachen (C00-C14);80 - 84;330;328;
2007;Mundhöhle und Rachen (C00-C14);85+;289;196;
2007;Speiseröhre (C15);0 - 4;<5;<5;
2007;Speiseröhre (C15);5 - 9;<5;<5;
2007;Speiseröhre (C15);10 - 14;<5;<5;
2007;Speiseröhre (C15);15 - 19;<5;<5;
2007;Speiseröhre (C15);20 - 24;<5;<5;
2007;Speiseröhre (C15);25 - 29;<5;<5;
2007;Speiseröhre (C15);30 - 34;5;<5;
2007;Speiseröhre (C15);35 - 39;6;26;
2007;Speiseröhre (C15);40 - 44;13;93;
2007;Speiseröhre (C15);45 - 49;39;226;
2007;Speiseröhre (C15);50 - 54;92;443;
2007;Speiseröhre (C15);55 - 59;112;640;
2007;Speiseröhre (C15);60 - 64;169;685;
2007;Speiseröhre (C15);65 - 69;254;1.010;
2007;Speiseröhre (C15);70 - 74;159;889;
2007;Speiseröhre (C15);75 - 79;161;551;
2007;Speiseröhre (C15);80 - 84;187;290;
2007;Speiseröhre (C15);85+;158;174;
2007;Magen (C16);0 - 4;<5;<5;
2007;Magen (C16);5 - 9;<5;<5;
2007;Magen (C16);10 - 14;<5;<5;
2007;Magen (C16);15 - 19;<5;<5;
2007;Magen (C16);20 - 24;5;6;
2007;Magen (C16);25 - 29;18;12;
2007;Magen (C16);30 - 34;41;26;
2007;Magen (C16);35 - 39;70;77;
2007;Magen (C16);40 - 44;151;195;
2007;Magen (C16);45 - 49;218;409;
2007;Magen (C16);50 - 54;336;496;
2007;Magen (C16);55 - 59;372;804;
2007;Magen (C16);60 - 64;494;1.029;
2007;Magen (C16);65 - 69;777;1.736;
2007;Magen (C16);70 - 74;998;1.650;
2007;Magen (C16);75 - 79;1.155;1.737;
2007;Magen (C16);80 - 84;1.236;1.223;
2007;Magen (C16);85+;1.501;853;
2007;Dünndarm (C17);0 - 4;<5;<5;
2007;Dünndarm (C17);5 - 9;<5;<5;
2007;Dünndarm (C17);10 - 14;<5;<5;
2007;Dünndarm (C17);15 - 19;<5;<5;
2007;Dünndarm (C17);20 - 24;<5;<5;
2007;Dünndarm (C17);25 - 29;<5;<5;
2007;Dünndarm (C17);30 - 34;6;6;
2007;Dünndarm (C17);35 - 39;13;19;
2007;Dünndarm (C17);40 - 44;33;41;
2007;Dünndarm (C17);45 - 49;36;69;
2007;Dünndarm (C17);50 - 54;62;88;
2007;Dünndarm (C17);55 - 59;102;128;
2007;Dünndarm (C17);60 - 64;110;137;
2007;Dünndarm (C17);65 - 69;162;228;
2007;Dünndarm (C17);70 - 74;146;199;
2007;Dünndarm (C17);75 - 79;140;183;
2007;Dünndarm (C17);80 - 84;135;103;
2007;Dünndarm (C17);85+;71;64;
2007;Darm (C18-C20);0 - 4;<5;<5;
2007;Darm (C18-C20);5 - 9;<5;<5;
2007;Darm (C18-C20);10 - 14;<5;<5;
2007;Darm (C18-C20);15 - 19;42;21;
2007;Darm (C18-C20);20 - 24;39;36;
2007;Darm (C18-C20);25 - 29;60;57;
2007;Darm (C18-C20);30 - 34;76;92;
2007;Darm (C18-C20);35 - 39;189;218;
2007;Darm (C18-C20);40 - 44;459;498;
2007;Darm (C18-C20);45 - 49;664;978;
2007;Darm (C18-C20);50 - 54;1.262;1.682;
2007;Darm (C18-C20);55 - 59;1.775;3.000;
2007;Darm (C18-C20);60 - 64;2.355;3.977;
2007;Darm (C18-C20);65 - 69;3.953;6.694;
2007;Darm (C18-C20);70 - 74;4.421;6.793;
2007;Darm (C18-C20);75 - 79;4.860;5.942;
2007;Darm (C18-C20);80 - 84;5.378;3.890;
2007;Darm (C18-C20);85+;5.805;2.434;
2007;Anus u. Analkanal (C21);0 - 4;<5;<5;
2007;Anus u. Analkanal (C21);5 - 9;<5;<5;
2007;Anus u. Analkanal (C21);10 - 14;<5;<5;
2007;Anus u. Analkanal (C21);15 - 19;<5;<5;
2007;Anus u. Analkanal (C21);20 - 24;<5;<5;
2007;Anus u. Analkanal (C21);25 - 29;<5;<5;
2007;Anus u. Analkanal (C21);30 - 34;6;<5;
2007;Anus u. Analkanal (C21);35 - 39;19;12;
2007;Anus u. Analkanal (C21);40 - 44;51;32;
2007;Anus u. Analkanal (C21);45 - 49;77;59;
2007;Anus u. Analkanal (C21);50 - 54;118;61;
2007;Anus u. Analkanal (C21);55 - 59;136;85;
2007;Anus u. Analkanal (C21);60 - 64;125;66;
2007;Anus u. Analkanal (C21);65 - 69;181;109;
2007;Anus u. Analkanal (C21);70 - 74;118;90;
2007;Anus u. Analkanal (C21);75 - 79;122;69;
2007;Anus u. Analkanal (C21);80 - 84;123;49;
2007;Anus u. Analkanal (C21);85+;125;37;
2007;Leber (C22);0 - 4;5;11;
2007;Leber (C22);5 - 9;<5;<5;
2007;Leber (C22);10 - 14;<5;<5;
2007;Leber (C22);15 - 19;<5;<5;
2007;Leber (C22);20 - 24;<5;6;
2007;Leber (C22);25 - 29;<5;10;
2007;Leber (C22);30 - 34;5;13;
2007;Leber (C22);35 - 39;19;16;
2007;Leber (C22);40 - 44;29;49;
2007;Leber (C22);45 - 49;58;141;
2007;Leber (C22);50 - 54;106;284;
2007;Leber (C22);55 - 59;139;517;
2007;Leber (C22);60 - 64;152;653;
2007;Leber (C22);65 - 69;349;1.070;
2007;Leber (C22);70 - 74;343;1.115;
2007;Leber (C22);75 - 79;404;860;
2007;Leber (C22);80 - 84;401;487;
2007;Leber (C22);85+;406;277;
2007;Gallenblase und Gallenwege (C23-C24);0 - 4;<5;<5;
2007;Gallenblase und Gallenwege (C23-C24);5 - 9;<5;<5;
2007;Gallenblase und Gallenwege (C23-C24);10 - 14;<5;<5;
2007;Gallenblase und Gallenwege (C23-C24);15 - 19;<5;<5;
2007;Gallenblase und Gallenwege (C23-C24);20 - 24;<5;<5;
2007;Gallenblase und Gallenwege (C23-C24);25 - 29;<5;<5;
2007;Gallenblase und Gallenwege (C23-C24);30 - 34;<5;<5;
2007;Gallenblase und Gallenwege (C23-C24);35 - 39;11;15;
2007;Gallenblase und Gallenwege (C23-C24);40 - 44;18;28;
2007;Gallenblase und Gallenwege (C23-C24);45 - 49;58;60;
2007;Gallenblase und Gallenwege (C23-C24);50 - 54;84;96;
2007;Gallenblase und Gallenwege (C23-C24);55 - 59;130;136;
2007;Gallenblase und Gallenwege (C23-C24);60 - 64;173;220;
2007;Gallenblase und Gallenwege (C23-C24);65 - 69;416;368;
2007;Gallenblase und Gallenwege (C23-C24);70 - 74;507;405;
2007;Gallenblase und Gallenwege (C23-C24);75 - 79;517;389;
2007;Gallenblase und Gallenwege (C23-C24);80 - 84;566;236;
2007;Gallenblase und Gallenwege (C23-C24);85+;674;185;
2007;Bauchspeicheldrüse (C25);0 - 4;<5;<5;
2007;Bauchspeicheldrüse (C25);5 - 9;<5;<5;
2007;Bauchspeicheldrüse (C25);10 - 14;<5;<5;
2007;Bauchspeicheldrüse (C25);15 - 19;<5;<5;
2007;Bauchspeicheldrüse (C25);20 - 24;<5;<5;
2007;Bauchspeicheldrüse (C25);25 - 29;<5;7;
2007;Bauchspeicheldrüse (C25);30 - 34;5;10;
2007;Bauchspeicheldrüse (C25);35 - 39;37;27;
2007;Bauchspeicheldrüse (C25);40 - 44;71;119;
2007;Bauchspeicheldrüse (C25);45 - 49;161;281;
2007;Bauchspeicheldrüse (C25);50 - 54;264;426;
2007;Bauchspeicheldrüse (C25);55 - 59;440;681;
2007;Bauchspeicheldrüse (C25);60 - 64;581;917;
2007;Bauchspeicheldrüse (C25);65 - 69;1.179;1.409;
2007;Bauchspeicheldrüse (C25);70 - 74;1.249;1.396;
2007;Bauchspeicheldrüse (C25);75 - 79;1.360;1.175;
2007;Bauchspeicheldrüse (C25);80 - 84;1.458;720;
2007;Bauchspeicheldrüse (C25);85+;1.461;533;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);0 - 4;<5;<5;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);5 - 9;<5;<5;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);10 - 14;<5;<5;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);15 - 19;<5;<5;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);20 - 24;<5;<5;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);25 - 29;<5;<5;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);30 - 34;<5;<5;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);35 - 39;<5;<5;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);40 - 44;5;6;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);45 - 49;9;12;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);50 - 54;14;19;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);55 - 59;20;22;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);60 - 64;23;42;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);65 - 69;49;70;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);70 - 74;55;68;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);75 - 79;63;70;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);80 - 84;152;52;
2007;sonstg./n.n.bez. Verdauungsorgane (C26);85+;183;53;
2007;Nasenhöhle und Mittelohr (C30);0 - 4;<5;<5;
2007;Nasenhöhle und Mittelohr (C30);5 - 9;<5;<5;
2007;Nasenhöhle und Mittelohr (C30);10 - 14;<5;<5;
2007;Nasenhöhle und Mittelohr (C30);15 - 19;<5;<5;
2007;Nasenhöhle und Mittelohr (C30);20 - 24;<5;<5;
2007;Nasenhöhle und Mittelohr (C30);25 - 29;<5;<5;
2007;Nasenhöhle und Mittelohr (C30);30 - 34;<5;<5;
2007;Nasenhöhle und Mittelohr (C30);35 - 39;6;7;
2007;Nasenhöhle und Mittelohr (C30);40 - 44;13;18;
2007;Nasenhöhle und Mittelohr (C30);45 - 49;18;22;
2007;Nasenhöhle und Mittelohr (C30);50 - 54;22;35;
2007;Nasenhöhle und Mittelohr (C30);55 - 59;24;41;
2007;Nasenhöhle und Mittelohr (C30);60 - 64;16;30;
2007;Nasenhöhle und Mittelohr (C30);65 - 69;28;42;
2007;Nasenhöhle und Mittelohr (C30);70 - 74;21;46;
2007;Nasenhöhle und Mittelohr (C30);75 - 79;20;24;
2007;Nasenhöhle und Mittelohr (C30);80 - 84;19;15;
2007;Nasenhöhle und Mittelohr (C30);85+;16;12;
2007;Nasennebenhöhle (C31);0 - 4;<5;<5;
2007;Nasennebenhöhle (C31);5 - 9;<5;<5;
2007;Nasennebenhöhle (C31);10 - 14;<5;<5;
2007;Nasennebenhöhle (C31);15 - 19;<5;<5;
2007;Nasennebenhöhle (C31);20 - 24;<5;<5;
2007;Nasennebenhöhle (C31);25 - 29;<5;<5;
2007;Nasennebenhöhle (C31);30 - 34;<5;<5;
2007;Nasennebenhöhle (C31);35 - 39;<5;8;
2007;Nasennebenhöhle (C31);40 - 44;7;16;
2007;Nasennebenhöhle (C31);45 - 49;9;22;
2007;Nasennebenhöhle (C31);50 - 54;12;29;
2007;Nasennebenhöhle (C31);55 - 59;8;28;
2007;Nasennebenhöhle (C31);60 - 64;8;28;
2007;Nasennebenhöhle (C31);65 - 69;14;39;
2007;Nasennebenhöhle (C31);70 - 74;18;34;
2007;Nasennebenhöhle (C31);75 - 79;16;21;
2007;Nasennebenhöhle (C31);80 - 84;15;15;
2007;Nasennebenhöhle (C31);85+;14;9;
2007;Kehlkopf (C32);0 - 4;<5;<5;
2007;Kehlkopf (C32);5 - 9;<5;<5;
2007;Kehlkopf (C32);10 - 14;<5;<5;
2007;Kehlkopf (C32);15 - 19;<5;<5;
2007;Kehlkopf (C32);20 - 24;<5;<5;
2007;Kehlkopf (C32);25 - 29;<5;<5;
2007;Kehlkopf (C32);30 - 34;<5;<5;
2007;Kehlkopf (C32);35 - 39;5;18;
2007;Kehlkopf (C32);40 - 44;17;96;
2007;Kehlkopf (C32);45 - 49;35;193;
2007;Kehlkopf (C32);50 - 54;54;335;
2007;Kehlkopf (C32);55 - 59;67;495;
2007;Kehlkopf (C32);60 - 64;53;458;
2007;Kehlkopf (C32);65 - 69;69;705;
2007;Kehlkopf (C32);70 - 74;47;444;
2007;Kehlkopf (C32);75 - 79;39;354;
2007;Kehlkopf (C32);80 - 84;37;177;
2007;Kehlkopf (C32);85+;22;80;
2007;Lunge (C33-C34);0 - 4;<5;<5;
2007;Lunge (C33-C34);5 - 9;<5;<5;
2007;Lunge (C33-C34);10 - 14;<5;<5;
2007;Lunge (C33-C34);15 - 19;6;6;
2007;Lunge (C33-C34);20 - 24;7;7;
2007;Lunge (C33-C34);25 - 29;14;18;
2007;Lunge (C33-C34);30 - 34;34;28;
2007;Lunge (C33-C34);35 - 39;100;115;
2007;Lunge (C33-C34);40 - 44;350;394;
2007;Lunge (C33-C34);45 - 49;852;1.088;
2007;Lunge (C33-C34);50 - 54;1.324;2.041;
2007;Lunge (C33-C34);55 - 59;1.775;3.292;
2007;Lunge (C33-C34);60 - 64;2.040;4.620;
2007;Lunge (C33-C34);65 - 69;2.731;7.743;
2007;Lunge (C33-C34);70 - 74;2.339;6.898;
2007;Lunge (C33-C34);75 - 79;2.342;5.932;
2007;Lunge (C33-C34);80 - 84;1.722;3.191;
2007;Lunge (C33-C34);85+;1.245;1.551;
2007;Thymus (C37);0 - 4;<5;<5;
2007;Thymus (C37);5 - 9;<5;<5;
2007;Thymus (C37);10 - 14;<5;<5;
2007;Thymus (C37);15 - 19;<5;<5;
2007;Thymus (C37);20 - 24;<5;<5;
2007;Thymus (C37);25 - 29;<5;<5;
2007;Thymus (C37);30 - 34;<5;7;
2007;Thymus (C37);35 - 39;5;5;
2007;Thymus (C37);40 - 44;9;10;
2007;Thymus (C37);45 - 49;11;17;
2007;Thymus (C37);50 - 54;12;15;
2007;Thymus (C37);55 - 59;16;16;
2007;Thymus (C37);60 - 64;14;20;
2007;Thymus (C37);65 - 69;20;28;
2007;Thymus (C37);70 - 74;17;21;
2007;Thymus (C37);75 - 79;14;22;
2007;Thymus (C37);80 - 84;6;5;
2007;Thymus (C37);85+;<5;<5;
2007;Herz, Mediastinum u. Pleura (C38);0 - 4;<5;<5;
2007;Herz, Mediastinum u. Pleura (C38);5 - 9;<5;<5;
2007;Herz, Mediastinum u. Pleura (C38);10 - 14;<5;<5;
2007;Herz, Mediastinum u. Pleura (C38);15 - 19;<5;<5;
2007;Herz, Mediastinum u. Pleura (C38);20 - 24;<5;6;
2007;Herz, Mediastinum u. Pleura (C38);25 - 29;<5;5;
2007;Herz, Mediastinum u. Pleura (C38);30 - 34;<5;5;
2007;Herz, Mediastinum u. Pleura (C38);35 - 39;<5;6;
2007;Herz, Mediastinum u. Pleura (C38);40 - 44;<5;6;
2007;Herz, Mediastinum u. Pleura (C38);45 - 49;7;7;
2007;Herz, Mediastinum u. Pleura (C38);50 - 54;5;10;
2007;Herz, Mediastinum u. Pleura (C38);55 - 59;6;10;
2007;Herz, Mediastinum u. Pleura (C38);60 - 64;10;17;
2007;Herz, Mediastinum u. Pleura (C38);65 - 69;16;21;
2007;Herz, Mediastinum u. Pleura (C38);70 - 74;9;19;
2007;Herz, Mediastinum u. Pleura (C38);75 - 79;16;22;
2007;Herz, Mediastinum u. Pleura (C38);80 - 84;18;15;
2007;Herz, Mediastinum u. Pleura (C38);85+;18;15;
2007;sonstg. Brustorgane (C39);0 - 4;<5;<5;
2007;sonstg. Brustorgane (C39);5 - 9;<5;<5;
2007;sonstg. Brustorgane (C39);10 - 14;<5;<5;
2007;sonstg. Brustorgane (C39);15 - 19;<5;<5;
2007;sonstg. Brustorgane (C39);20 - 24;<5;<5;
2007;sonstg. Brustorgane (C39);25 - 29;<5;<5;
2007;sonstg. Brustorgane (C39);30 - 34;<5;<5;
2007;sonstg. Brustorgane (C39);35 - 39;<5;<5;
2007;sonstg. Brustorgane (C39);40 - 44;<5;<5;
2007;sonstg. Brustorgane (C39);45 - 49;<5;<5;
2007;sonstg. Brustorgane (C39);50 - 54;<5;<5;
2007;sonstg. Brustorgane (C39);55 - 59;<5;<5;
2007;sonstg. Brustorgane (C39);60 - 64;<5;<5;
2007;sonstg. Brustorgane (C39);65 - 69;<5;5;
2007;sonstg. Brustorgane (C39);70 - 74;<5;<5;
2007;sonstg. Brustorgane (C39);75 - 79;<5;6;
2007;sonstg. Brustorgane (C39);80 - 84;<5;<5;
2007;sonstg. Brustorgane (C39);85+;<5;<5;
2007;Knochen u. Gelenkknorpel (C40-C41);0 - 4;<5;5;
2007;Knochen u. Gelenkknorpel (C40-C41);5 - 9;17;14;
2007;Knochen u. Gelenkknorpel (C40-C41);10 - 14;32;29;
2007;Knochen u. Gelenkknorpel (C40-C41);15 - 19;32;57;
2007;Knochen u. Gelenkknorpel (C40-C41);20 - 24;17;32;
2007;Knochen u. Gelenkknorpel (C40-C41);25 - 29;16;16;
2007;Knochen u. Gelenkknorpel (C40-C41);30 - 34;10;12;
2007;Knochen u. Gelenkknorpel (C40-C41);35 - 39;21;31;
2007;Knochen u. Gelenkknorpel (C40-C41);40 - 44;11;23;
2007;Knochen u. Gelenkknorpel (C40-C41);45 - 49;20;32;
2007;Knochen u. Gelenkknorpel (C40-C41);50 - 54;16;25;
2007;Knochen u. Gelenkknorpel (C40-C41);55 - 59;17;24;
2007;Knochen u. Gelenkknorpel (C40-C41);60 - 64;32;27;
2007;Knochen u. Gelenkknorpel (C40-C41);65 - 69;38;43;
2007;Knochen u. Gelenkknorpel (C40-C41);70 - 74;25;36;
2007;Knochen u. Gelenkknorpel (C40-C41);75 - 79;25;23;
2007;Knochen u. Gelenkknorpel (C40-C41);80 - 84;26;11;
2007;Knochen u. Gelenkknorpel (C40-C41);85+;29;9;
2007;Malignes Melanom der Haut (C43);0 - 4;<5;<5;
2007;Malignes Melanom der Haut (C43);5 - 9;<5;<5;
2007;Malignes Melanom der Haut (C43);10 - 14;<5;<5;
2007;Malignes Melanom der Haut (C43);15 - 19;33;18;
2007;Malignes Melanom der Haut (C43);20 - 24;224;57;
2007;Malignes Melanom der Haut (C43);25 - 29;350;171;
2007;Malignes Melanom der Haut (C43);30 - 34;441;160;
2007;Malignes Melanom der Haut (C43);35 - 39;585;308;
2007;Malignes Melanom der Haut (C43);40 - 44;813;543;
2007;Malignes Melanom der Haut (C43);45 - 49;726;596;
2007;Malignes Melanom der Haut (C43);50 - 54;676;596;
2007;Malignes Melanom der Haut (C43);55 - 59;716;730;
2007;Malignes Melanom der Haut (C43);60 - 64;702;900;
2007;Malignes Melanom der Haut (C43);65 - 69;1.093;1.265;
2007;Malignes Melanom der Haut (C43);70 - 74;785;1.178;
2007;Malignes Melanom der Haut (C43);75 - 79;685;883;
2007;Malignes Melanom der Haut (C43);80 - 84;525;501;
2007;Malignes Melanom der Haut (C43);85+;546;364;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);0 - 4;40;50;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);5 - 9;8;10;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);10 - 14;13;10;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);15 - 19;31;33;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);20 - 24;25;36;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);25 - 29;31;35;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);30 - 34;26;42;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);35 - 39;66;109;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);40 - 44;54;105;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);45 - 49;107;118;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);50 - 54;89;143;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);55 - 59;122;198;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);60 - 64;175;281;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);65 - 69;348;624;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);70 - 74;233;529;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);75 - 79;245;447;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);80 - 84;225;270;
2007;Weichteile u. mesotheliales Gewebe (C45-C49);85+;204;181;
2007;Brustdrüse (C50);0 - 4;<5;<5;
2007;Brustdrüse (C50);5 - 9;<5;<5;
2007;Brustdrüse (C50);10 - 14;<5;<5;
2007;Brustdrüse (C50);15 - 19;<5;<5;
2007;Brustdrüse (C50);20 - 24;45;<5;
2007;Brustdrüse (C50);25 - 29;271;<5;
2007;Brustdrüse (C50);30 - 34;769;<5;
2007;Brustdrüse (C50);35 - 39;1.772;7;
2007;Brustdrüse (C50);40 - 44;4.058;14;
2007;Brustdrüse (C50);45 - 49;5.988;23;
2007;Brustdrüse (C50);50 - 54;6.374;29;
2007;Brustdrüse (C50);55 - 59;7.136;47;
2007;Brustdrüse (C50);60 - 64;7.669;64;
2007;Brustdrüse (C50);65 - 69;10.701;120;
2007;Brustdrüse (C50);70 - 74;7.680;110;
2007;Brustdrüse (C50);75 - 79;6.148;94;
2007;Brustdrüse (C50);80 - 84;5.666;54;
2007;Brustdrüse (C50);85+;5.403;34;
2007;Vulva (C51);0 - 4;<5;x;
2007;Vulva (C51);5 - 9;<5;x;
